#OTU_ID	KEGG_Description	KEGG_Pathways
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67] (E1.1.1.67, mtlK)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69] (idnO)	None
K00048	lactaldehyde reductase [EC:1.1.1.77] (fucO)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Carbohydrate metabolism;Propaonate metabolism
K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81] (GRHPR)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00050	hydroxypyruvate reductase [EC:1.1.1.81] (ttuD)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82] (E1.1.1.82)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85] (leuB)	Metabolism;Carbohydrate metabolism;C5-Branched dibasic acid metabolism|Metabolism;Amino acid metabolism;Valine, leucine and isoleucine biosynthesis
K00053	ketol-acid reductoisomerase [EC:1.1.1.86] (ilvC)	Metabolism;Amino acid metabolism;Valine, leucine and isoleucine biosynthesis|Metabolism;Metabolism of cofactors and vitamins;Pantothenate and CoA biosynthesis
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88] (mvaA)	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90] (E1.1.1.90)	Metabolism;Amino acid metabolism;Tyrosine metabolism|Metabolism;Amino acid metabolism;Phenylalanine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Toluene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Xylene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam degradation
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94] (gpsA)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00058	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] (serA, PHGDH)	Metabolism;Energy metabolism;Methane metabolism|Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (fabG)	Metabolism;Lipid metabolism;Fatty acid biosynthesis|Metabolism;Lipid metabolism;Biosynthesis of unsaturated fatty acids|Metabolism;Metabolism of cofactors and vitamins;Biotin metabolism
K00060	threonine 3-dehydrogenase [EC:1.1.1.103] (tdh)	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00061	11-cis-retinol dehydrogenase [EC:1.1.1.315] (RDH5)	Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism
K00062	D-arabinose 1-dehydrogenase [EC:1.1.1.116] (E1.1.1.116)	None
K00063	D-arabinose 1-dehydrogenase [EC:1.1.1.117] (ARA1)	None
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122] (E1.1.1.122)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism
K00065	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125] (kduD)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132] (algD)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism|Environmental information processing;Signal transduction;Two-component system
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] (rfbD, rmlD)	Metabolism;Metabolism of terpenoids and polyketides;Polyketide sugar unit biosynthesis|Metabolism;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140] (srlD)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism
K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141] (HPGD)	Human diseases;Cancers_overview;Transcriptional misregulation in cancer
K00070	3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1] (HSD3B)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis|Organismal Systems;Endocrine system;Ovarian steroidogenesis|Organismal Systems;Endocrine system;Aldosterone synthesis and secretion
K00071	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-] (HSD11B2)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis|Organismal Systems;Excretory system;Aldosterone-regulated sodium reabsorption
K00072	sepiapterin reductase [EC:1.1.1.153] (SPR)	Metabolism;Metabolism of cofactors and vitamins;Folate biosynthesis
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350] (allD)	Metabolism;Nucleotide metabolism;Purine metabolism
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (paaH, hbd, fadB, mmgB)	Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Amino acid metabolism;Phenylalanine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (murB)	Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism|Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan biosynthesis
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159] (hdhA)	None
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169] (panE, apbA)	Metabolism;Metabolism of cofactors and vitamins;Pantothenate and CoA biosynthesis
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179] (DHDH)	Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450
K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197] (CBR1)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450|Human diseases;Cancers_overview;Chemical carcinogenesis
K00081	carbonyl reductase 2 [EC:1.1.1.184] (CBR2)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193] (ribD2)	Metabolism;Metabolism of cofactors and vitamins;Riboflavin metabolism
K00083	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195] (E1.1.1.195)	Metabolism;Biosynthesis of other secondary metabolites;Phenylpropanoid biosynthesis
K00084	carbonyl reductase 3 [EC:1.1.1.184] (CBR3)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450
K00085	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200] (E1.1.1.200)	None
K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202] (dhaT)	Metabolism;Carbohydrate metabolism;Propaonate metabolism|Metabolism;Lipid metabolism;Glycerolipid metabolism
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4] (ygeS, xdhA)	Metabolism;Nucleotide metabolism;Purine metabolism
K00088	IMP dehydrogenase [EC:1.1.1.205] (guaB)	Metabolism;Nucleotide metabolism;Purine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - other enzymes
K00089	3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213] (E1.1.1.213)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis
K00090	gluconate 2-dehydrogenase [EC:1.1.1.215] (E1.1.1.215)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219] (E1.1.1.219)	None
K00092	chlordecone reductase [EC:1.1.1.225] (E1.1.1.225)	None
K00093	methanol dehydrogenase [EC:1.1.1.244] (medh)	Metabolism;Energy metabolism;Methane metabolism
K00094	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251] (E1.1.1.251, gatD)	Metabolism;Carbohydrate metabolism;Galactose metabolism
K00095	mannitol dehydrogenase [EC:1.1.1.255] (MTD)	None
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261] (araM, egsA)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262] (pdxA)	Metabolism;Metabolism of cofactors and vitamins;Vitamin B6 metabolism
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264] (idnD)	None
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] (dxr)	Metabolism;Metabolism of terpenoids and polyketides;Terpenoid backbone biosynthesis
K00100	 (E1.1.1.-)	Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Lipid metabolism;Linoleic acid metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Bisphenol degradation
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3] (E1.1.2.3, lldD)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4] (dld, LDHD)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K00103	L-gulonolactone oxidase [EC:1.1.3.8] (GULO)	Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism
K00104	glycolate oxidase [EC:1.1.3.15] (glcD)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21] (E1.1.3.21)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] (XDH)	Metabolism;Nucleotide metabolism;Purine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Biosynthesis of other secondary metabolites;Caffeine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - other enzymes|Cellular processes;Transport and catabolism;Peroxisome
K00107	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37] (ALO)	None
K00108	choline dehydrogenase [EC:1.1.99.1] (betA, CHDH)	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2] (E1.1.99.2)	Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3] (glpA, glpD)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3] (glpB)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3] (glpC)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] (exaA)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation
K00115	glucose dehydrogenase (acceptor) [EC:1.1.5.9] (E1.1.5.9)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4] (mqo)	Metabolism;Carbohydrate metabolism;Citrate Cycle (TCA Cycle)|Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2] (gcd)	Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28] (gfo)	None
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (frmA, ADH5, adhC)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Energy metabolism;Methane metabolism|Metabolism;Lipid metabolism;Fatty acid degradation|Metabolism;Amino acid metabolism;Tyrosine metabolism|Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450|Human diseases;Cancers_overview;Chemical carcinogenesis
K00122	formate dehydrogenase [EC:1.2.1.2] (FDH)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00123	formate dehydrogenase major subunit [EC:1.2.1.2] (fdoG, fdfH)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00124	formate dehydrogenase iron-sulfur subunit (fdoH)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00125	formate dehydrogenase, beta subunit [EC:1.2.1.2] (E1.2.1.2B2)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00126	formate dehydrogenase subunit delta [EC:1.2.1.2] (fdsD)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00127	formate dehydrogenase subunit gamma (fdoI)	Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy metabolism;Methane metabolism
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] (E1.2.1.3)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions|Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Lipid metabolism;Fatty acid degradation|Metabolism;Lipid metabolism;Glycerolipid metabolism|Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation|Metabolism;Amino acid metabolism;Lysine degradation|Metabolism;Amino acid metabolism;Arginine and proline metabolism|Metabolism;Amino acid metabolism;Histidine metabolism|Metabolism;Amino acid metabolism;Tryptophan metabolism|Metabolism;Metabolism of other amino acids;beta-Alanine metabolism|Metabolism;Metabolism of terpenoids and polyketides;Limonene and pinene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation
K00129	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] (E1.2.1.5)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Amino acid metabolism;Histidine metabolism|Metabolism;Amino acid metabolism;Tyrosine metabolism|Metabolism;Amino acid metabolism;Phenylalanine metabolism|Metabolism;Metabolism of other amino acids;beta-Alanine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450|Human diseases;Cancers_overview;Chemical carcinogenesis
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8] (betB, gbsA)	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9] (gapN)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pentose phosphate pathway
K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10] (E1.2.1.10)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Butanoate metabolism
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] (asd)	Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism|Metabolism;Amino acid metabolism;Cysteine and methionine metabolism|Metabolism;Amino acid metabolism;Lysine biosynthesis|Metabolism;Biosynthesis of other secondary metabolites;Monobactam biosynthesis
